Class,Time
0,72631
0,72631
0,72631
0,72632
0,72632
0,72632
0,72632
0,72633
0,72633
0,72633
0,72633
0,72633
0,72633
0,72634
0,72634
0,72634
0,72634
0,72634
0,72636
0,72636
0,72636
0,72637
0,72637
0,72638
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72639
0,72640
0,72640
0,72641
0,72641
0,72642
0,72643
0,72643
0,72644
0,72645
0,72645
0,72645
0,72646
0,72646
0,72647
0,72647
0,72648
0,72648
0,72649
0,72649
0,72649
0,72650
0,72651
0,72651
0,72651
0,72651
0,72651
0,72652
0,72652
0,72652
0,72653
0,72653
0,72653
0,72654
0,72654
0,72654
0,72655
0,72655
0,72656
0,72656
0,72657
0,72657
0,72657
0,72657
0,72657
0,72658
0,72658
0,72658
0,72658
0,72659
0,72659
0,72659
0,72660
0,72660
0,72660
0,72661
0,72661
0,72663
0,72663
0,72663
0,72663
0,72664
0,72664
0,72665
0,72665
0,72666
0,72666
0,72667
0,72668
0,72668
0,72669
0,72669
0,72669
0,72670
0,72670
0,72671
0,72671
0,72671
0,72672
0,72672
0,72672
0,72674
0,72675
0,72675
0,72676
0,72676
0,72678
0,72680
0,72680
0,72680
0,72682
0,72683
0,72683
0,72684
0,72684
0,72685
0,72685
0,72685
0,72686
0,72686
0,72687
0,72687
0,72687
0,72687
0,72687
0,72688
0,72688
0,72688
0,72689
0,72689
0,72689
0,72689
0,72689
0,72689
0,72690
0,72690
0,72690
0,72691
0,72691
0,72691
0,72692
0,72692
0,72693
0,72693
0,72694
0,72694
0,72694
0,72694
0,72694
0,72695
0,72695
0,72695
0,72695
0,72696
0,72696
0,72696
0,72696
0,72696
0,72697
0,72698
0,72698
0,72698
0,72699
0,72699
0,72699
0,72700
0,72701
0,72702
0,72703
0,72704
0,72704
0,72704
0,72705
0,72705
0,72706
0,72707
0,72708
0,72708
0,72709
0,72709
0,72710
0,72710
0,72710
0,72710
0,72711
0,72711
0,72711
0,72712
0,72713
0,72713
0,72715
0,72715
0,72716
0,72716
0,72717
0,72717
0,72718
0,72718
0,72718
0,72719
0,72719
0,72720
0,72720
0,72720
0,72721
0,72722
0,72722
0,72724
0,72724
0,72724
0,72724
0,72724
0,72725
0,72725
0,72726
0,72726
0,72726
0,72726
0,72726
0,72727
0,72729
0,72730
0,72730
0,72730
0,72731
0,72732
0,72732
0,72732
0,72733
0,72734
0,72734
0,72734
0,72734
0,72734
0,72734
0,72735
0,72735
0,72736
0,72737
0,72737
0,72738
0,72738
0,72739
0,72739
0,72741
0,72741
0,72742
0,72742
0,72742
0,72743
0,72743
0,72744
0,72744
0,72744
0,72745
0,72747
0,72747
0,72747
0,72748
0,72748
0,72748
0,72749
0,72749
0,72749
0,72750
0,72750
0,72750
0,72750
0,72750
0,72752
0,72752
0,72753
0,72754
0,72754
0,72755
0,72756
0,72756
0,72757
0,72758
0,72759
0,72759
0,72759
0,72760
0,72761
0,72761
0,72762
0,72762
0,72765
0,72765
0,72766
0,72766
0,72766
0,72767
0,72767
0,72767
0,72767
0,72767
0,72767
0,72767
0,72767
0,72768
0,72768
0,72768
0,72768
0,72769
0,72769
0,72769
0,72769
0,72770
0,72770
0,72770
0,72771
0,72771
0,72772
0,72773
0,72773
0,72774
0,72774
0,72774
0,72774
0,72775
0,72775
0,72775
0,72776
0,72776
0,72776
0,72777
0,72777
0,72778
0,72778
0,72778
0,72779
0,72779
0,72779
0,72780
0,72780
0,72780
0,72780
0,72781
0,72781
0,72782
0,72783
0,72783
0,72784
0,72785
0,72785
0,72785
0,72786
0,72786
0,72786
0,72786
0,72786
0,72787
0,72787
0,72787
0,72788
0,72788
0,72789
0,72789
0,72789
0,72789
0,72789
0,72790
0,72790
0,72791
0,72791
0,72792
0,72794
0,72796
0,72796
0,72796
0,72797
0,72798
0,72798
0,72800
0,72800
0,72800
0,72801
0,72802
0,72802
0,72803
0,72803
0,72803
0,72803
0,72803
0,72804
0,72804
0,72804
0,72804
0,72805
0,72805
0,72805
0,72806
0,72806
0,72806
0,72806
0,72806
0,72809
0,72809
0,72809
0,72809
0,72810
0,72810
0,72811
0,72812
0,72812
0,72812
0,72812
0,72813
0,72814
0,72814
0,72815
0,72815
0,72815
0,72815
0,72816
0,72816
0,72817
0,72817
0,72817
0,72818
0,72818
0,72819
0,72819
0,72820
0,72820
0,72820
0,72820
0,72820
0,72820
0,72820
0,72820
0,72821
0,72821
0,72822
0,72822
0,72822
0,72822
0,72822
0,72822
0,72823
0,72824
0,72824
1,72824
0,72825
0,72826
0,72826
0,72827
0,72827
0,72827
0,72827
0,72827
0,72827
0,72827
0,72828
0,72828
0,72828
0,72828
0,72828
0,72829
0,72829
0,72829
0,72830
0,72830
0,72830
0,72832
0,72832
0,72833
0,72833
0,72833
0,72833
0,72833
0,72834
0,72835
0,72835
0,72835
0,72835
0,72836
0,72836
0,72836
0,72836
0,72837
0,72838
0,72838
0,72839
0,72839
0,72839
0,72839
0,72840
0,72841
0,72842
0,72843
0,72843
0,72844
0,72844
0,72844
0,72844
0,72844
0,72844
0,72846
0,72847
0,72847
0,72847
0,72847
0,72848
0,72848
0,72848
0,72848
0,72849
0,72849
0,72849
0,72850
0,72850
0,72851
0,72851
0,72852
0,72853
0,72853
0,72853
0,72855
0,72855
0,72856
0,72856
0,72856
0,72857
0,72857
0,72857
0,72857
0,72858
0,72858
0,72858
0,72859
0,72859
0,72860
0,72860
0,72860
0,72861
0,72861
0,72862
0,72862
0,72862
0,72863
0,72863
0,72863
0,72863
0,72864
0,72864
0,72865
0,72865
0,72865
0,72866
0,72866
0,72866
0,72866
0,72867
0,72868
0,72869
0,72869
0,72869
0,72870
0,72870
0,72870
0,72870
0,72870
0,72871
0,72871
0,72871
0,72871
0,72872
0,72873
0,72873
0,72874
0,72875
0,72876
0,72876
0,72876
0,72876
0,72876
0,72877
0,72877
0,72878
0,72878
0,72878
0,72878
0,72878
0,72879
0,72879
0,72880
0,72880
0,72880
0,72880
0,72880
0,72881
0,72881
0,72882
0,72883
0,72884
0,72884
0,72884
0,72884
0,72885
0,72885
0,72886
0,72886
0,72889
0,72890
0,72890
0,72891
0,72891
0,72891
0,72892
0,72892
0,72893
0,72893
0,72894
0,72894
0,72894
0,72894
0,72895
0,72896
0,72896
0,72896
0,72896
0,72897
0,72897
0,72897
0,72897
0,72897
0,72898
0,72898
0,72899
0,72899
0,72899
0,72899
0,72900
0,72900
0,72902
0,72902
0,72903
0,72903
0,72904
0,72904
0,72904
0,72904
0,72905
0,72905
0,72905
0,72906
0,72906
0,72906
0,72906
0,72906
0,72906
0,72906
0,72906
0,72907
0,72908
0,72908
0,72909
0,72909
0,72910
0,72910
0,72911
0,72912
0,72913
0,72914
0,72914
0,72914
0,72915
0,72916
0,72917
0,72917
0,72917
0,72917
0,72917
0,72919
0,72919
0,72920
0,72920
0,72920
0,72921
0,72921
0,72921
0,72921
0,72922
0,72923
0,72923
0,72924
0,72924
0,72924
0,72925
0,72926
0,72928
0,72928
0,72928
0,72928
0,72929
0,72929
0,72930
0,72930
0,72931
0,72932
0,72932
0,72933
0,72933
0,72934
0,72935
0,72935
0,72935
0,72937
0,72937
0,72938
0,72938
0,72939
0,72940
0,72940
0,72940
0,72941
0,72941
0,72942
0,72942
0,72942
0,72942
0,72942
0,72943
0,72943
0,72944
0,72944
0,72945
0,72945
0,72945
0,72945
0,72945
0,72946
0,72946
0,72947
0,72948
0,72949
0,72949
0,72949
0,72949
0,72950
0,72950
0,72950
0,72951
0,72952
0,72952
0,72953
0,72954
0,72955
0,72955
0,72956
0,72956
0,72957
0,72957
0,72957
0,72958
0,72958
0,72959
0,72959
0,72960
0,72960
0,72960
0,72960
0,72960
0,72960
0,72961
0,72961
0,72962
0,72962
0,72962
0,72963
0,72963
0,72963
0,72963
0,72964
0,72964
0,72966
0,72966
0,72966
0,72967
0,72967
0,72968
0,72971
0,72971
0,72972
0,72973
0,72973
0,72974
0,72974
0,72974
0,72974
0,72975
0,72975
0,72975
0,72975
0,72976
0,72976
0,72977
0,72978
0,72978
0,72978
0,72978
0,72979
0,72979
0,72979
0,72979
0,72980
0,72981
0,72981
0,72981
0,72982
0,72982
0,72983
0,72983
0,72984
0,72984
0,72985
0,72985
0,72985
0,72985
0,72986
0,72986
0,72986
0,72986
0,72986
0,72987
0,72987
0,72987
0,72987
0,72988
0,72989
0,72989
0,72989
0,72989
0,72990
0,72990
0,72990
0,72990
0,72990
0,72991
0,72991
0,72991
0,72992
0,72992
0,72992
0,72992
0,72993
0,72993
0,72993
0,72993
0,72994
0,72994
0,72994
0,72995
0,72995
0,72996
0,72996
0,72996
0,72996
0,72996
0,72996
0,72997
0,72997
0,72997
0,72998
0,72998
0,72998
0,72999
0,72999
0,72999
0,73000
0,73001
0,73001
0,73001
0,73001
0,73002
0,73002
0,73003
0,73003
0,73004
0,73005
0,73005
0,73005
0,73005
0,73006
0,73006
0,73006
0,73007
0,73008
0,73008
0,73008
0,73008
0,73010
0,73010
0,73011
0,73012
0,73012
0,73012
0,73013
0,73013
0,73014
0,73015
0,73015
0,73015
0,73016
0,73016
0,73017
0,73017
0,73018
0,73018
0,73018
0,73019
0,73019
0,73019
0,73020
0,73020
0,73020
0,73021
0,73022
0,73022
0,73022
0,73023
0,73023
0,73023
0,73024
0,73024
0,73024
0,73025
0,73025
0,73026
0,73026
0,73027
0,73027
0,73028
0,73028
0,73028
0,73029
0,73029
0,73029
0,73030
0,73030
0,73031
0,73032
0,73032
0,73032
0,73032
0,73032
0,73033
0,73033
0,73033
0,73033
0,73033
0,73034
0,73034
0,73034
0,73034
0,73034
0,73034
0,73035
0,73035
0,73035
0,73036
0,73036
0,73036
0,73037
0,73038
0,73038
0,73038
0,73039
0,73040
0,73040
0,73040
0,73041
0,73041
0,73041
0,73042
0,73042
0,73043
0,73043
0,73043
0,73044
0,73044
0,73044
0,73044
0,73044
0,73044
0,73044
0,73045
0,73045
0,73045
0,73045
0,73045
0,73045
0,73047
0,73048
0,73048
0,73048
0,73048
0,73048
0,73049
0,73049
0,73050
0,73051
0,73051
0,73051
0,73052
0,73053
0,73054
0,73054
0,73054
0,73054
0,73054
0,73054
0,73054
0,73055
0,73055
0,73055
0,73055
0,73057
0,73057
0,73057
0,73058
0,73059
0,73059
0,73059
0,73059
0,73059
0,73060
0,73060
0,73061
0,73062
0,73062
0,73062
0,73063
0,73063
0,73063
0,73063
0,73065
0,73066
0,73067
0,73067
0,73067
0,73067
0,73067
0,73067
0,73067
0,73067
0,73068
0,73068
0,73068
0,73069
0,73069
0,73071
0,73071
0,73071
0,73072
0,73072
0,73072
0,73072
0,73072
0,73073
0,73073
0,73074
0,73074
0,73075
0,73075
0,73075
0,73075
0,73076
0,73076
0,73076
0,73077
0,73077
0,73077
0,73077
0,73077
0,73078
0,73078
0,73078
0,73078
0,73080
0,73080
0,73081
0,73081
0,73081
0,73081
0,73081
0,73081
0,73082
0,73082
0,73082
0,73083
0,73083
0,73083
0,73084
0,73084
0,73084
0,73085
0,73086
0,73086
0,73087
0,73088
0,73088
0,73088
0,73090
0,73091
0,73092
0,73092
0,73093
0,73093
0,73094
0,73094
0,73094
0,73094
0,73095
0,73095
0,73096
0,73096
0,73096
0,73096
0,73097
0,73097
0,73097
0,73097
0,73097
0,73097
0,73098
0,73098
0,73098
0,73099
0,73099
0,73099
0,73099
0,73099
0,73099
0,73100
0,73100
0,73100
0,73101
0,73101
0,73102
0,73102
0,73103
0,73103
0,73104
0,73104
0,73104
0,73105
0,73105
0,73105
0,73105
0,73105
0,73106
0,73107
0,73108
0,73108
0,73109
0,73109
0,73110
0,73110
0,73110
0,73110
0,73110
0,73111
0,73112
0,73113
0,73113
0,73113
0,73115
0,73115
0,73115
0,73116
0,73116
0,73118
0,73118
0,73118
0,73119
0,73119
0,73119
0,73119
0,73119
0,73120
0,73122
0,73122
0,73122
0,73123
0,73124
0,73124
0,73124
0,73125
0,73125
0,73126
0,73126
0,73127
0,73128
0,73128
0,73129
0,73129
0,73130
0,73130
0,73130
0,73132
0,73132
0,73133
0,73133
0,73133
0,73133
0,73133
0,73133
0,73133
0,73133
0,73133
0,73134
0,73134
0,73136
0,73136
0,73136
0,73136
0,73137
0,73137
0,73138
0,73139
0,73139
0,73139
0,73139
0,73140
0,73140
0,73140
0,73141
0,73141
0,73141
0,73142
0,73142
0,73142
0,73142
0,73143
0,73143
0,73143
0,73144
0,73145
0,73145
0,73146
0,73147
0,73148
0,73149
0,73149
0,73149
0,73149
0,73149
0,73150
0,73150
0,73150
0,73151
0,73151
0,73151
0,73152
0,73152
0,73152
0,73153
0,73154
0,73154
0,73155
0,73155
0,73156
0,73156
0,73156
0,73156
0,73158
0,73158
0,73158
0,73158
0,73159
0,73159
0,73160
0,73160
0,73160
0,73161
0,73161
0,73162
0,73162
0,73163
0,73163
0,73165
0,73165
0,73165
0,73165
0,73166
0,73166
0,73167
0,73167
0,73167
0,73168
0,73168
0,73169
0,73169
0,73169
0,73169
0,73169
0,73171
0,73171
0,73171
0,73171
0,73171
0,73171
0,73171
0,73172
0,73172
0,73174
0,73174
0,73174
0,73175
0,73175
0,73176
0,73176
0,73176
0,73176
0,73176
0,73177
0,73177
0,73178
0,73178
0,73178
0,73178
0,73178
0,73179
0,73179
0,73179
0,73180
0,73180
0,73180
0,73180
0,73181
0,73181
0,73181
0,73181
0,73181
0,73181
0,73182
0,73182
0,73183
0,73183
0,73184
0,73184
0,73185
0,73185
0,73186
0,73186
0,73187
0,73187
0,73187
0,73187
0,73188
0,73188
0,73188
0,73188
0,73189
0,73189
0,73189
0,73190
0,73191
0,73191
0,73191
0,73191
0,73192
0,73192
0,73194
0,73195
0,73195
0,73195
0,73196
0,73196
0,73196
0,73197
0,73198
0,73199
0,73199
0,73200
0,73200
0,73200
0,73201
0,73201
0,73201
0,73201
0,73201
0,73201
0,73201
0,73202
0,73203
0,73203
0,73204
0,73204
0,73205
0,73205
0,73205
0,73205
0,73205
0,73206
0,73206
0,73206
0,73206
0,73207
0,73208
0,73208
0,73208
0,73210
0,73210
0,73211
0,73211
0,73212
0,73212
0,73213
0,73214
0,73214
0,73214
0,73215
0,73216
0,73217
0,73217
0,73218
0,73218
0,73218
0,73218
0,73218
0,73218
0,73219
0,73219
0,73219
0,73219
0,73221
0,73221
0,73221
0,73221
0,73221
0,73221
0,73221
0,73222
0,73222
0,73222
0,73223
0,73223
0,73223
0,73223
0,73224
0,73225
0,73225
0,73226
0,73226
0,73227
0,73228
0,73228
0,73228
0,73229
0,73230
0,73231
0,73231
0,73232
0,73233
0,73233
0,73233
0,73233
0,73234
0,73235
0,73235
0,73235
0,73235
0,73236
0,73236
0,73238
0,73238
0,73238
0,73239
0,73239
0,73239
0,73240
0,73240
0,73240
0,73241
0,73242
0,73242
0,73244
0,73244
0,73246
0,73246
0,73246
0,73247
0,73247
0,73247
0,73247
0,73248
0,73249
0,73249
0,73249
0,73249
0,73250
0,73250
0,73250
0,73250
0,73250
0,73252
0,73252
0,73253
0,73254
0,73254
0,73254
0,73254
0,73255
0,73255
0,73256
0,73256
0,73256
0,73257
0,73257
0,73258
0,73258
0,73258
0,73258
0,73258
0,73259
0,73259
0,73260
0,73260
0,73260
0,73260
0,73261
0,73261
0,73262
0,73262
0,73262
0,73263
0,73263
0,73263
0,73264
0,73265
0,73265
0,73265
0,73265
0,73266
0,73266
0,73267
0,73267
0,73267
0,73269
0,73269
0,73270
0,73270
0,73270
0,73272
0,73272
0,73273
0,73273
0,73273
0,73273
0,73273
0,73273
0,73274
0,73274
0,73274
0,73274
0,73274
0,73274
0,73275
0,73276
0,73276
0,73277
0,73277
0,73277
0,73277
0,73278
0,73278
0,73278
0,73278
0,73279
0,73280
0,73281
0,73282
0,73282
0,73282
0,73283
0,73284
0,73284
0,73284
0,73284
0,73285
0,73286
0,73286
0,73287
0,73288
0,73288
0,73289
0,73289
0,73289
0,73289
0,73291
0,73291
0,73292
0,73292
0,73292
0,73293
0,73293
0,73294
0,73295
0,73295
0,73295
0,73295
0,73296
0,73296
0,73297
0,73297
0,73297
0,73297
0,73297
0,73298
0,73298
0,73299
0,73299
0,73300
0,73300
0,73300
0,73300
0,73300
0,73301
0,73301
0,73302
0,73302
0,73302
0,73302
0,73303
0,73303
0,73303
0,73303
0,73304
0,73304
0,73304
0,73305
0,73305
0,73305
0,73306
0,73306
0,73306
0,73307
0,73307
0,73307
0,73307
0,73309
0,73309
0,73309
0,73310
0,73310
0,73310
0,73311
0,73312
0,73312
0,73312
0,73312
0,73313
0,73313
0,73314
0,73314
0,73314
0,73315
0,73315
0,73315
0,73315
0,73316
0,73317
0,73317
0,73317
0,73318
0,73318
0,73318
0,73318
0,73318
0,73320
0,73321
0,73322
0,73322
0,73323
0,73323
0,73323
0,73323
0,73325
0,73325
0,73326
0,73327
0,73328
0,73329
0,73329
0,73329
0,73329
0,73329
0,73330
0,73330
0,73330
0,73330
0,73331
0,73331
0,73331
0,73332
0,73332
0,73333
0,73333
0,73333
0,73333
0,73333
0,73334
0,73335
0,73335
0,73336
0,73337
0,73337
0,73337
0,73337
0,73338
0,73339
0,73340
0,73340
0,73340
0,73341
0,73342
0,73342
0,73342
0,73342
0,73343
0,73343
0,73343
0,73344
0,73344
0,73344
0,73345
0,73345
0,73346
0,73346
0,73346
0,73347
0,73347
0,73347
0,73347
0,73349
0,73350
0,73351
0,73352
0,73352
0,73352
0,73352
0,73352
0,73353
0,73353
0,73353
0,73353
0,73354
0,73354
0,73354
0,73356
0,73356
0,73356
0,73357
0,73357
0,73357
0,73358
0,73358
0,73359
0,73359
0,73359
0,73361
0,73362
0,73363
0,73363
0,73364
0,73364
0,73364
0,73365
0,73366
0,73366
0,73367
0,73367
0,73368
0,73369
0,73369
0,73369
0,73371
0,73373
0,73373
0,73374
0,73374
0,73374
0,73374
0,73374
0,73375
0,73375
0,73376
0,73376
0,73376
0,73376
0,73377
0,73377
0,73377
0,73377
0,73377
0,73377
0,73378
0,73378
0,73378
0,73378
0,73379
0,73379
0,73379
0,73379
0,73379
0,73379
0,73380
0,73380
0,73380
0,73381
0,73382
0,73382
0,73383
0,73384
0,73384
0,73384
0,73385
0,73385
0,73387
0,73387
0,73387
0,73388
0,73388
0,73388
0,73388
0,73389
0,73389
0,73389
0,73389
0,73390
0,73390
0,73390
0,73392
0,73392
0,73392
0,73392
0,73392
0,73392
0,73393
0,73393
0,73393
0,73394
0,73394
0,73395
0,73396
0,73396
0,73396
0,73396
0,73396
0,73396
0,73399
0,73400
0,73400
0,73400
0,73401
0,73402
0,73402
0,73402
0,73402
0,73402
0,73403
0,73403
0,73403
0,73404
0,73404
0,73405
0,73406
0,73406
0,73407
0,73407
1,73408
0,73408
0,73408
0,73408
0,73409
0,73409
0,73409
0,73409
0,73411
0,73411
0,73411
0,73412
0,73412
0,73412
0,73413
0,73414
0,73414
0,73414
0,73415
0,73416
0,73417
0,73418
0,73418
0,73418
0,73419
0,73419
0,73420
0,73420
0,73421
0,73421
0,73421
0,73422
0,73422
0,73426
0,73426
0,73426
0,73427
0,73428
0,73428
0,73429
0,73429
0,73429
0,73430
0,73430
0,73431
0,73431
0,73431
0,73432
0,73432
0,73432
0,73432
0,73433
0,73434
0,73434
0,73435
0,73435
0,73436
0,73437
0,73437
0,73437
0,73438
0,73438
0,73438
0,73438
0,73440
0,73440
0,73440
0,73441
0,73441
0,73442
0,73442
0,73442
0,73442
0,73442
0,73442
0,73442
0,73443
0,73443
0,73444
0,73444
0,73444
0,73444
0,73446
0,73447
0,73448
0,73449
0,73450
0,73450
0,73450
0,73451
0,73451
0,73451
0,73451
0,73451
0,73451
0,73452
0,73452
0,73453
0,73453
0,73453
0,73455
0,73455
0,73456
0,73456
0,73456
0,73456
0,73456
0,73457
0,73457
0,73457
0,73459
0,73459
0,73459
0,73459
0,73459
0,73459
0,73460
0,73460
0,73461
0,73462
0,73462
0,73462
0,73463
0,73463
0,73463
0,73464
0,73465
0,73466
0,73466
0,73466
0,73467
0,73468
0,73468
0,73468
0,73468
0,73468
0,73469
0,73469
0,73470
0,73471
0,73471
0,73471
0,73472
0,73472
0,73472
0,73473
0,73473
0,73474
0,73474
0,73475
0,73475
0,73475
0,73475
0,73476
0,73476
0,73477
0,73477
0,73479
0,73479
0,73479
0,73480
0,73480
0,73480
0,73480
0,73480
0,73481
0,73483
0,73483
0,73483
0,73483
0,73483
0,73483
0,73483
0,73484
0,73485
0,73486
0,73486
0,73486
0,73487
0,73487
0,73488
0,73488
0,73489
0,73489
0,73490
0,73491
0,73492
0,73492
0,73492
0,73492
0,73492
0,73493
0,73493
0,73495
0,73495
0,73496
0,73496
0,73496
0,73496
0,73497
0,73498
0,73498
0,73499
0,73499
0,73500
0,73500
0,73501
0,73502
0,73502
0,73503
0,73503
0,73504
0,73505
0,73505
0,73506
0,73506
0,73507
0,73507
0,73507
0,73507
0,73507
0,73508
0,73508
0,73509
0,73509
0,73509
0,73509
0,73509
0,73510
0,73511
0,73511
0,73511
0,73512
0,73513
0,73513
0,73513
0,73514
0,73514
0,73514
0,73515
0,73515
0,73516
0,73516
0,73516
0,73517
0,73517
0,73518
0,73519
0,73519
0,73519
0,73520
0,73520
0,73520
0,73521
0,73521
0,73521
0,73522
0,73522
0,73522
0,73522
0,73522
0,73523
0,73523
0,73523
0,73523
0,73523
0,73523
0,73523
0,73523
0,73523
0,73524
0,73525
0,73525
0,73526
0,73526
0,73526
0,73526
0,73526
0,73527
0,73527
0,73527
0,73528
0,73528
0,73528
0,73528
0,73529
0,73529
0,73529
0,73529
0,73530
0,73530
0,73530
0,73531
0,73531
0,73531
0,73531
0,73532
0,73533
0,73533
0,73533
0,73533
0,73533
0,73534
0,73535
0,73535
0,73535
0,73536
0,73536
0,73536
0,73536
0,73536
0,73536
0,73537
0,73537
0,73537
0,73538
0,73538
0,73538
0,73539
0,73539
0,73539
0,73540
0,73540
0,73540
0,73541
0,73542
0,73542
0,73543
0,73543
0,73544
0,73544
0,73545
0,73545
0,73545
0,73546
0,73546
0,73546
0,73547
0,73547
0,73547
0,73548
0,73548
0,73550
0,73551
0,73552
0,73552
0,73552
0,73552
0,73553
0,73554
0,73554
0,73554
0,73554
0,73555
0,73555
0,73555
0,73556
0,73557
0,73557
0,73558
0,73558
0,73558
0,73559
0,73559
0,73559
0,73559
0,73559
0,73559
0,73559
0,73560
0,73560
0,73561
0,73561
0,73561
0,73561
0,73562
0,73562
0,73564
0,73564
0,73564
0,73564
0,73564
0,73566
0,73566
0,73567
0,73568
0,73568
0,73568
0,73568
0,73569
0,73570
0,73571
0,73571
0,73571
0,73572
0,73572
0,73573
0,73573
0,73573
0,73573
0,73574
0,73574
0,73574
0,73574
0,73574
0,73574
0,73575
0,73576
0,73576
0,73577
0,73578
0,73579
0,73579
0,73579
0,73580
0,73582
0,73582
0,73582
0,73583
0,73584
0,73585
0,73585
0,73585
0,73586
0,73586
0,73586
0,73586
0,73587
0,73587
0,73588
0,73588
0,73589
0,73589
0,73590
0,73591
0,73591
0,73591
0,73591
0,73591
0,73592
0,73593
0,73593
0,73594
0,73594
0,73594
0,73594
0,73595
0,73596
0,73597
0,73597
0,73598
0,73599
0,73599
0,73599
0,73599
0,73599
0,73600
0,73600
0,73601
0,73601
0,73601
0,73601
0,73602
0,73603
0,73604
0,73604
0,73604
0,73605
0,73606
0,73606
0,73606
0,73606
0,73607
0,73607
0,73608
0,73608
0,73608
0,73608
0,73608
0,73608
0,73608
0,73609
0,73609
0,73609
0,73610
0,73610
0,73610
0,73610
0,73610
0,73611
0,73611
0,73611
0,73611
0,73612
0,73612
0,73613
0,73614
0,73614
0,73614
0,73615
0,73615
0,73615
0,73616
0,73617
0,73617
0,73617
0,73618
0,73618
0,73618
0,73618
0,73619
0,73619
0,73619
0,73619
0,73621
0,73621
0,73621
0,73622
0,73622
0,73622
0,73622
0,73622
0,73622
0,73622
0,73623
0,73623
0,73623
0,73623
0,73623
0,73624
0,73624
0,73624
0,73624
0,73625
0,73625
0,73625
0,73625
0,73626
0,73626
0,73626
0,73626
0,73626
0,73626
0,73627
0,73627
0,73629
0,73629
0,73630
0,73630
0,73631
0,73631
0,73631
0,73632
0,73633
0,73634
0,73634
0,73634
0,73634
0,73634
0,73635
0,73635
0,73636
0,73637
0,73637
0,73637
0,73638
0,73639
0,73639
0,73639
0,73641
0,73641
0,73642
0,73642
0,73642
0,73643
0,73643
0,73644
0,73645
0,73645
0,73645
0,73646
0,73646
0,73648
0,73648
0,73649
0,73649
0,73650
0,73650
0,73650
0,73651
0,73651
0,73651
0,73651
0,73651
0,73651
0,73651
0,73651
0,73651
0,73652
0,73652
0,73653
0,73653
0,73654
0,73654
0,73655
0,73656
0,73657
0,73657
0,73658
0,73659
0,73659
0,73660
0,73660
0,73660
0,73660
0,73661
0,73662
0,73662
0,73662
0,73662
0,73663
0,73663
0,73664
0,73664
0,73664
0,73665
0,73665
0,73666
0,73666
0,73667
0,73667
0,73667
0,73668
0,73668
0,73668
0,73668
0,73669
0,73669
0,73669
0,73669
0,73669
0,73670
0,73671
0,73671
0,73672
0,73673
0,73673
0,73673
0,73673
0,73673
0,73675
0,73675
0,73675
0,73675
0,73677
0,73678
0,73678
0,73678
0,73679
0,73679
0,73680
0,73680
0,73680
0,73681
0,73681
0,73682
0,73682
0,73683
0,73683
0,73683
0,73683
0,73683
0,73684
0,73684
0,73684
0,73685
0,73686
0,73686
0,73687
0,73687
0,73687
0,73687
0,73688
0,73689
0,73690
0,73690
0,73690
0,73690
0,73690
0,73690
0,73691
0,73691
0,73691
0,73691
0,73691
0,73691
0,73692
0,73693
0,73694
0,73694
0,73694
0,73695
0,73695
0,73696
0,73696
0,73696
0,73697
0,73699
0,73699
0,73699
0,73700
0,73700
0,73700
0,73701
0,73701
0,73702
0,73702
0,73704
0,73705
0,73705
0,73705
0,73705
0,73705
0,73706
0,73706
0,73707
0,73707
0,73708
0,73709
0,73710
0,73710
0,73711
0,73712
0,73712
0,73712
0,73713
0,73713
0,73713
0,73714
0,73714
0,73714
0,73715
0,73716
0,73716
0,73717
0,73717
0,73717
0,73717
0,73717
0,73718
0,73720
0,73720
0,73720
0,73721
0,73721
0,73721
0,73721
0,73721
0,73722
0,73722
0,73723
0,73723
0,73723
0,73724
0,73724
0,73725
0,73725
0,73725
0,73725
0,73726
0,73726
0,73726
0,73727
0,73728
0,73728
0,73728
0,73728
0,73729
0,73729
0,73729
0,73729
0,73730
0,73731
0,73731
0,73732
0,73732
0,73732
0,73733
0,73733
0,73734
0,73734
0,73735
0,73735
0,73735
0,73736
0,73736
0,73736
0,73737
0,73737
0,73737
0,73737
0,73737
0,73738
0,73738
0,73739
0,73740
0,73741
0,73741
0,73742
0,73743
0,73743
0,73743
0,73743
0,73743
0,73743
0,73744
0,73744
0,73744
0,73744
0,73745
0,73745
0,73746
0,73746
0,73746
0,73747
0,73747
0,73747
0,73747
0,73748
0,73748
0,73748
0,73748
0,73748
0,73748
0,73748
0,73749
0,73749
0,73749
0,73749
0,73749
0,73750
0,73750
0,73751
0,73751
0,73751
0,73751
0,73752
0,73752
0,73752
0,73753
0,73753
0,73753
0,73753
0,73755
0,73755
0,73756
0,73756
0,73757
0,73758
0,73758
0,73758
0,73759
0,73759
0,73759
0,73759
0,73760
0,73760
0,73761
0,73761
0,73761
0,73762
0,73763
0,73763
0,73763
0,73764
0,73764
0,73765
0,73765
0,73765
0,73765
0,73766
0,73767
0,73767
0,73767
0,73768
0,73768
0,73768
0,73768
0,73768
0,73768
0,73768
0,73770
0,73771
0,73771
0,73772
0,73772
0,73773
0,73773
0,73773
0,73773
0,73773
0,73773
0,73773
0,73773
0,73774
0,73774
0,73774
0,73774
0,73775
0,73775
